id;gum;es
7446;¿Purѳ trѳmpѳik isumtѳ kualѳmmera pumuatѳ chincha tamara pѳntramik kѳ? (Mateѳ 24:44);¿Por qué debemos prepararnos para la gran tribulación? (Mateo 24:44)
7447;¿purѳ trѳmpѳik isumtѳ kualѳmmera pumuatѳ tamara pasrѳtitru?;¿está preparado para la gran tribulación?
7448;¿sabiduría lataik wamѳpen mѳra marѳpelѳpe chi tapik utapelѳ kѳ?;¿de qué maneras nos beneficia aceptar la invitación de la verdadera sabiduría?
7449;Eclesiastés 12:13, 14 taimpala, ¿chi maramik kѳ? (Nѳѳrѳ tarѳmarikwankucha ash Beneficiѳs de temer a Diѳs);Según Eclesiastés 12:13, 14, ¿qué debemos hacer? (Vea también el recuadro Beneficios de temer a Dios)
7450;¿Sabiduría lataik wamѳpen mѳra marѳpelѳpe chi tapik utapelѳ kѳ? ¿Wentѳsrѳwai chi tapelѳ utѳntrera? (Pisikwankucha ash);¿De qué disfrutan ya los que aceptan la invitación de la verdadera sabiduría? ¿Y qué les espera en el futuro? (Vea también la imagen)
7451;¿Tius nѳ alap pasrainuk chipurѳ eshkap pasra?;¿Qué invitación nos hace Dios?
7452;¿Prѳverbiѳs 9:16 taimpala mѳmay alap pasra?;¿Qué otra invitación hallamos en Proverbios 9:16?
7453;Latrѳ trѳmpѳik asik kenamisren, ¿chi maramik kѳ?;Si nos aparece una imagen que pudiera despertar en nosotros deseos inmorales, ¿qué debemos hacer?
7454;¿Pѳrnѳgrafían asamikpe chincha kalѳ kѳ?;¿Por qué es tan malo ver pornografía?
7455;¿Kan ishuk tap isumíikwan mѳrѳpelѳpe chi isua maramik kѳ?;¿Qué decisión tienen que tomar quienes oyen la voz de la mujer insensata?
7456;Prѳverbiѳs 9:1318 taimpala, ¿kan ishuk tap isumíikwan ѳn taikkutri chi purayaik kѳ? (Pisikwankucha ash);Según Proverbios 9:1318, ¿cómo acaban los invitados de la mujer insensata? (Vea también la imagen)
7457;¿Leѳwan purayaikwan asha ñipe chi kusreku?;¿Qué aprende usted de lo que le pasó a Leo?
7458;¿Tiuswan kѳrikpala pasraikkutri kan nuchakwan mantѳ purukuik kѳ?;¿Cómo protegió el temor de Dios a una hermana?
7459;¿Chinchakutri Lѳt uñip uras mѳi kualѳmmera latawain kѳ?;¿En qué se parece nuestra situación a la de Lot?
7460;Jeupawan kѳrikpala pѳntrapelѳpe mѳi lata wentѳsrѳ lata tapikwan utѳntrun;Temer a dios nos beneficiará ahora y en el futuro
7461;¿tiuswan kѳrikpala pѳntramikpe maik kѳ?;¿qué significa temer a jehová?
7462;¿Jeupape nam chi martrai isupik kѳ?;¿Qué espera Jehová de nosotros?
7463;¿Jehѳáswan chi purayaik kѳ?;¿Cómo acabó Jehoás?
7464;¿Jehѳás kullakik kui mantѳ kenamarik kѳ?;¿Cómo mostró Jehoás que era espiritualmente débil?
7465;Jehѳás latailѳ kѳmѳkun;No seamos como jehoás
7466;¿Jehѳiadá Jeupawan kѳrikpala pasraikkutri nѳpe chi tapik utik kѳ?;¿Qué honra recibió Jehoiadá por haber honrado a Jehová?
7467;¿Jehѳiadápe Jeupawan tarѳmisrmѳ pasrapik kui katѳle mantѳ kenamarik kѳ?;¿Cómo volvió a demostrar Jehoiadá su lealtad?
7468;¿Abdías kѳrmѳ pasrapik kui mantѳ kenamarik kѳ?¿Jeupawai misakmera Abdías latawai mantѳ kenamarѳpelѳ kѳ? (Fѳtѳnkucha ash);¿Cómo siguen el ejemplo de Abdías muchos siervos de Jehová? (Vea también la imagen)
7469;¿Abdías kѳrmѳ pasrapik kui mantѳ kenamarik kѳ?;¿Cómo demostró Abdías una valentía extraordinaria?
7470;Abdías latawai kѳrmѳ pѳntrѳkun;Seamos valientes como abdías
7471;¿Jeupawan kѳrikpala pѳntramik ѳraciónpe namun mantѳ purukupik kѳ?;¿Cómo nos ayuda la oración a temer a Jehová?
7472;¿Tiuswan kѳrikpala pѳntrѳntrappe nampe chi maramik kѳ? (Salmѳ 34:11);¿Cuál es una manera de cultivar el temor de Dios? (Salmo 34:11)
7473;¿Satanáspe Tiuswaimpurap nam chi isuntrai marѳpik kera?;¿Qué quiere Satanás que sintamos hacia Jehová?
7474;¿Kѳrik kui mѳrѳrai intikpe mantѳ purukupik kѳ?;¿Cómo nos protege el temor?
7475;¿tiuswan kѳrikpala pѳntramikpe maik kѳ?;¿qué significa temer a dios?
7476;¿jeupawan chincha kѳrikpala pѳntramik kѳ?;¿por qué debemos temer a jehová?
7477;¿jeupawai kualѳm pumuatѳ mantѳ tamarѳp amtrap?;¿cómo podemos prepararnos para el día de jehová?
7478;¿jeupawai kualѳmyu mumera pinisailѳ kѳntrera?;¿quiénes no van a sobrevivir al día de jehová?
7479;¿Mukucha namun kekѳtrѳsrkѳmѳntrai nampe chi maramik kѳ? (1 Tesalѳnicenses 5:21);¿Qué debemos hacer para que nadie nos engañe? (1 Tesalonicenses 5:21)
7480;Chiwandѳgucha maig kѳtashchab isua ashibmerrig asamig kѳn;Comprueben todas las cosas
7481;¿Nam tapik attrapikwan muniraikkutri chi isumѳ amѳñintrap mantѳ purukupik kѳ?;¿Cómo protege la esperanza nuestros pensamientos?
7482;¿Namui nuchalan untaraikpe namun mantѳ purukupik kѳ? (1 Tesalѳnicenses 5:11);¿Cómo nos ayuda el amor a nuestros hermanos? (1 Tesalonicenses 5:11)
7483;Tesalѳnicenses 5:8 taimpala, ¿nam tap isuamѳra amѳñintrap chi maramik kѳ? (Pisikwankucha ash);Según 1 Tesalonicenses 5:8, ¿qué necesitamos para estar despiertos y mantener el buen juicio? (Vea también la imagen)
7484;¿Pinisailѳ kѳntrapelѳ chincha mutsikelѳ latailѳ kera?¿jeupawai kualѳm pumuatѳ mantѳ tamarѳp amtrap?;¿cómo podemos prepararnos para el día de jehová?
7485;¿jeupawai kualѳmyu mumera pinisailѳ kѳntrera?;¿quiénes no van a sobrevivir al día de jehová?
7486;¿Purѳ trѳmpѳik isumtѳ kualѳmmera attrapikpe chincha tѳtrap lataitѳwain kѳ?;¿En qué sentido es la gran tribulación como el amanecer?
7487;¿jeupawain kualѳmpe maik attrera?;¿cómo vendrá el día de jehová?
7488;¿1 Tesalѳnicenseswan nam tѳr nepua asamik chincha latrѳ tapik kѳ?;¿Por qué es bueno que analicemos la Primera Carta a los Tesalonicenses?
7489;Jeupa atrum kualѳm tamara melay;estén siempre preparados para el día de jehová
7490;Yu asimpala, ¿kungrekasiunyu metrap pera aship pѳntrapelѳ Gedeón latawai mantѳ maramik kѳ?;Según lo que hemos visto, ¿cómo pueden los ancianos imitar a Gedeón?
7491;¿Gedeónwan chi purukuik kѳ awentantrai? 2) ¿Metrap pera aship pѳntrapelѳ chiwan tѳrtѳ tѳkakѳmik kѳ? (Isaías 40:2831, fѳtѳnkucha ash);¿Qué ayudó a Gedeón a aguantar? b) ¿De qué pueden estar seguros los ancianos? (Isaías 40:2831, vea también la foto)
7492;¿Mana kenamaramik kuik kѳ awentawa pasrapik kui Gedeónpe?;¿Cómo se puso a prueba el aguante de Gedeón?
7493;Awentawa pѳntramik murik kѳpen;Cuando sea difícil aguantar
7494;¿Gedeón chiwan tѳrtѳ tѳkakuik kѳ? 2) ¿Metrap pera aship pѳntrapelѳ chi maramik kѳ Gedeón lataik kѳntrap? (Pisikwankucha ash);¿De qué estaba convencido Gedeón? b) ¿Qué pueden hacer los ancianos para ser como Gedeón? (Vea también la imagen)
7495;¿Kan metrap pera aship pasrapik mana kenamaramik kѳ mѳra marѳpik kui?;¿Cómo puede ponerse a prueba la obediencia de un anciano?
7496;¿Mana kenamaramik kuik kѳ mѳra marѳpik kui kѳrmѳ pasrapik kui Gedeónpe? (Pѳlpasrѳpyuikwan pisikwan ash);¿En qué situaciones se pusieron a prueba la obediencia y la valentía de Gedeón? (Vea el dibujo de la portada)
7497;¿Gedeón kenamarik mantѳ purukupsrueira metrap pera aship pѳntrapelan mѳikkѳpen chikѳpen chipen? (Santiagѳ 3:13);¿Cómo pueden los ancianos imitar a Gedeón cuando alguien los critica? (Santiago 3:13)
7498;¿Gedeón chishtѳ marѳpik kurmap isumuik chi kusrenanѳpsrueira kungrekasiunyu metrap pera aship pѳntrapelan? (Pisikwankucha ash);¿Cómo pueden los ancianos ser modestos como Gedeón? (Vea también la imagen)
7499;¿chikѳpen maramiku, kѳtrѳtelѳ kѳntrap chi maramik kѳ?;Cuando sea difícil ser modesto y humilde
7500;¿Gedeón kenamarik namun chi kusrenana?;¿Por qué es bueno que todos nos fijemos en el ejemplo de Gedeón?
7501;Pedrѳ 5:2, ¿kungrekasiunyu metrap pera aship pѳntrapelan chi martrain karuik kѳ?;Según 1 Pedro 5:2, ¿qué honor tienen los ancianos cristianos?
7502;Kungrekasiunyu metrap pera aship pѳntrapelѳ gedeónwan asha kusreik;Ancianos, sigan el ejemplo de gedeón
7503;¿chikѳpen maramkeilѳ sѳtѳpasramisren chi maramik kѳ?;¿cómo debemos ver los obstáculos?
7504;¿chi purukuntrera jeupawaimpurap chincha martrap misrikwan pesannamѳntrap?;¿Qué debe hacer mientras avanza hacia su meta? (Vea también la imagen)¿qué nos ayudará a estar más motivados para alcanzar una meta?
7505;¿Jeupawaimpurap maramelѳ nepumnepe chi marѳp ampamik kѳ? (Pisikwankucha ash);¿Qué debe hacer mientras avanza hacia su meta? (Vea también la imagen)
7506;¿Nam chap nepuilan chincha pesannamѳ isumik kѳ?;¿Por qué deberíamos tener presente lo que ya hemos logrado?
7507;¿Chi maramkeilѳ sѳtѳpasramisrѳpsrueira?;¿Qué obstáculos podríamos enfrentar?
7508;¿Chincha mas tapik kѳ tsѳntatѳ tsѳntatѳ marѳp yamik?Chikѳpen maramkeik sѳtѳpasramisren kullaramѳta;No se desanime ante los obstáculos
7509;¿Chincha mas tapik kѳ tsѳntatѳ tsѳntatѳ marѳp yamik?;¿Cuáles son las ventajas de ir de menos a más?
7510;¿Jeupa namun mantѳ purukupik kѳ asr mѳmaykѳpen srua imѳntrai?;¿Cómo nos ayuda Jehová a tener más autocontrol?
7511;¿Jeupawaimpurap martrap misrinuk namun marѳk kѳmuintѳkucha martrap trantrѳpene chi tapelѳ utѳntrera?;¿Cuáles son las ventajas de esforzarnos por alcanzar una meta incluso cuando no nos sentimos motivados?
7512;¿Jeupawaimpurap martrap misrinuk namun marѳk kѳmuintѳkucha martrap trantramik tapik kѳ chintera?;¿Está bien que nos esforcemos por alcanzar una meta si no tenemos ganas de hacerlo?
7513;Nam jeupawaimpurap martrap misrikwan marѳk kѳmupen;Cuando no nos sentimos motivados
7514;¿Juliѳ nui sraimpa martrap misrilan nepuntrap chi marik kѳ?;¿Qué hicieron Julio y su esposa para alcanzar su meta?
7515;¿Chitѳ purukuntrera Jeupawaimpurap chincha martrap misrikwan pesannamѳntrap?;¿Qué otra cosa nos ayudará a estar más motivados?
7516;¿Chitѳ miamtikѳ kѳ Jeupawan? (Filipenses 2:13, pisikwankucha ash);¿Qué podemos pedirle a Jehová? (Filipenses 2:13, vea también la imagen)
7517;¿Nam Jeupawaimpurap chincha martrap misrikwan pesannamumik kѳ?;¿Por qué es importante estar motivados?
7518;Nam jeupawaimpurap chincha martrap misrikwan pesannamumik kѳ;Es muy importante estar motivados
7519;¿Mayelѳpa chi kaimamtik tѳkakѳpra?;¿Qué lucha tenemos muchos?
7520;¿kekpa sraimpa mantѳ kѳrikpala pѳntraik kenamarѳpsrueira?;¿qué pueden hacer el esposo y la esposa para demostrar que se respetan?
7521;¿kasharawarpe untak patsѳmѳntrai chincha jeupapa trak linchipik kѳmik kѳ?¿kasharawarmera chitѳ marѳpsrueria mas utѳ wesrantrap kanpalatѳ pѳntrѳntrap?;¿qué pueden hacer quienes están casados para pasar más tiempo juntos?
7522;¿Saraimpurap sralѳpe chi kusrentrap? (1 Pedrѳ 3:5, 6);¿Qué pueden aprender las esposas del ejemplo de Sara? (1 Pedro 3:5, 6)
7523;¿Abrahánwaimpurap kelѳpe chi kusrentrap? (1 Pedrѳ 3:7, pisikwankucha ash);¿Qué pueden aprender los esposos del ejemplo de Abrahán? (1 Pedro 3:7, vea también la imagen)
7524;¿Chi marѳpsrueira kasharawarmera pailѳ pѳntrѳntrap isumelѳ kuape?;¿Qué pueden hacer los matrimonios cuando no les gusta pasar tiempo juntos?
7525;¿Chi maramik kera kekpa sraimpa kanpalatѳ pѳntrѳntrap?;¿Qué tienen que hacer el esposo y la esposa si quieren estar realmente unidos?
7526;¿Kasharawarpe Efesiѳs 5:15, 16 wamintikwan mantѳ martrap?;¿Cómo pueden aplicar quienes están casados lo que dice Efesios 5:15, 16?
7527;¿Kekpa sraimpa kanpalatѳ putrѳntrap chincha utѳ wesrumik kѳ?;¿Por qué deben pasar tiempo juntos el esposo y la esposa?
7528;Pailѳ kanpalatѳ putrѳntrap utѳ wesrantrikay;Pasen tiempo juntos
7529;¿Kasharawarmera tap kѳmѳtelѳ pupelan mantѳ tamarѳpsrueira pailѳ putramisra Tiuswan adѳraiktѳka?;¿Qué puede hacer para aprovechar la adoración en familia un matrimonio que tiene problemas?
7530;¿Jѳsé latawai kѳntrap kelѳpe chitѳ martrap?;¿Cómo pueden los esposos seguir el ejemplo de José?
7531;¿Jѳséwanpa Maríanpa Jeupa chincha wesrua pasrik kѳ Mesíaswai mѳskalѳ kѳntrai?;¿Por qué eligió Jehová a José y a María para que fueran los padres del Mesías?
7532;Jeupapa mas trak linchipelѳ kѳntrap intay;Sigan fortaleciendo su amistad con jehová
7533;¿mѳya newan chish maywan mantѳ tamarѳp ampik kѳ incha mana kurik kѳ?;¿cómo se preparó el camino de la santidad de tiempos modernos, y cuándo se abrió?
7534;¿Ciertѳn untak kѳpikwaimpurap Bibliape trupurap maik eshkapik kѳ?;¿Cómo describe la Biblia el amor verdadero?
7535;Jahwai nakwan kuamѳ pilѳntrai intay;Mantengan viva la llama de jah
7536;¿mѳya mumera ampupkѳ newan chish mayu incha chumay sruaipik kѳ?;¿quiénes andan por el camino de la santidad hoy en día, y cuál es su destino final?
7537;Newan chish maype kuriksrѳ pasran¿1919srѳnkutri Newan Chish Mayu mantѳ tamarѳp amtruik kѳ? (Isaías 48:17, 60:17);¿Qué trabajos de mantenimiento se han hecho en el Camino de la Santidad desde 1919? (Isaías 48:17, 60:17)
7538;Newan chish maype kuriksrѳ pasran;El camino de la santidad sigue abierto
7539;¿Siglѳ diecinuevesrѳ isa kusrenanilan mantѳ nepua asik kѳ? Kan purayaikwan eshkau;Dé un ejemplo que muestre cómo se pusieron al descubierto algunas ideas religiosas falsas en el siglo diecinueve
7540;¿Bibliape yam pek trimay pѳra kilka wesruinuk chi nepua marik kѳ? (Pisikwankucha ash);¿Qué se logró con la impresión y la traducción de la Biblia? (Vea también la imagen)
7541;Maywan tamarѳp;Se prepara el camino
7542;¿Judíѳsmera chi yunѳmaramik kuik kѳ? Kan purayaikwan eshkau;¿Qué cambios tenían que hacer algunos judíos? Dé un ejemplo
7543;¿Ik maywan chincha trentaik kѳ newan chishik kѳncha?;¿Por qué se dijo que este camino era santo?
7544;¿Jeupa judíѳsmerayasik chi trantrap misrik kѳ?;¿Qué les prometió Jehová a los judíos?
7545;¿Judíѳsmera Israelsrѳ katѳ puikkutri chi tapik utik kѳ?;¿Qué bendición les esperaba a los judíos que volvieran a Israel?
7546;¿fetѳka tiuswan miapene mantѳ purukupik kѳ?;¿cómo nos ayuda la fe cuando oramos?
7547;¿jeupa mѳmaytѳ lѳtapik kѳ namui miailan?;¿de qué maneras responde jehová nuestras oraciones?
7548;¿chincha kanmay jeupa nam miaik lataik lѳtamíik kѳ?;¿por qué es posible que jehová no responda nuestras oraciones de la manera que esperamos?
7549;Salmѳ 86:6, 7 taimpala, ¿chi tѳrtѳ tѳkakѳpra?;Según Salmo 86:6, 7, ¿de qué estamos seguros?
7550;¿Fetѳka Tiuswan miapene mantѳ purukupik kѳ? (Hebreѳs 11:6);¿Cómo nos ayuda la fe cuando oramos? (Hebreos 11:6)
7551;¿Kan nuchakwan chi purukuik kѳ ciertѳn Jeupa nui miailan lѳtapik kui ashchap?;¿Qué ayudó a una hermana a ver que Jehová sí contestaba sus oraciones?
7552;Fe tѳkakѳmik kѳn jeupa lѳtilan ashchap, tap utѳntrap;Necesitamos fe para ver y aceptar la respuesta de jehová
7553;¿Sѳѳ Hing purayaik asha ñun mantѳ purukuta? (Fѳtѳnkucha ash);¿Cómo lo anima la experiencia de Soo Hing? (Vea también la imagen)
7554;Filipenses 4:13 taimpala, ¿Jeupa mantѳ purukuntrera nui misakmeran? Kan purayaikwan eshkau (Fѳtѳnkucha ash);Según Filipenses 4:13, ¿cómo ayudará Jehová a sus siervos? Ponga un ejemplo (Vea también la imagen)
7555;¿Chikѳpen martrentinuk mantѳ purukupik kѳ Jeupa? Kan purayaikwan eshkau;¿Cómo nos ayuda Jehová cuando tenemos que tomar decisiones? Ponga un ejemplo
7556;¿Kanmaype chincha yunѳmaramik kѳ namui miailan? Kan purayaikwan eshkau;¿Por qué es posible que tengamos que modificar nuestras peticiones a Jehová? Ponga un ejemplo
7557;¿Kanmay chinchakutri Jeupa nam miailan lѳtѳmup lataik isuinapik kѳ?;¿Por qué a veces puede parecer que Jehová no responde nuestras oraciones?
7558;¿Jeupa nui misakmeran mѳrѳpik kui chincha nepua ashipelѳ kѳpra? (Pisikwankucha ash);¿Cómo sabemos que Jehová responde las oraciones de sus siervos? (Vea también la imagen)
7559;¿Jeupa chincha isupik kѳ nun miantrai?;¿Por qué quiere Jehová que le oremos?
7560;¿Namasiktѳ chi paík marѳpsrueira?;¿Qué es posible que nos preguntemos?
7561;¿mѳinkutrimpunѳ tiuspa wamintinuk chi martrap isuku ñipe?;¿qué se propone hacer usted con sus oraciones?
7562;¿nam tiuspa wamintinuk chipurap waminchipsrueira?;¿qué cosas podemos incluir en nuestras oraciones?
7563;¿chu urastѳkucha jesús tiuspa waminchipik kui mantѳ nepua ashipelѳ kѳpra?;¿cómo sabemos que jesús era un hombre de oración?
7564;¿Chiyukѳpen kullak mѳrѳrainuk Jeupa purukuikwan chincha palapik kѳ?;¿Por qué necesitamos la ayuda de Jehová para resistir las tentaciones?
7565;¿Mur kualѳmmerapurap purep ampup kѳpen Tiuspa wamintinuk mantѳ purukupik kѳ? Kan purayaikwan eshkau;¿Cómo nos ayuda la oración a aguantar cuando tenemos dificultades? Dé un ejemplo
7566;¿Jesús pera unilѳpe chi marik kѳ Hechѳs 4:29, 31 taimpala?;Según Hechos 4:29, 31, ¿qué hicieron los discípulos?
7567;¿Chincha kѳrmѳ amѳnamik kuik kѳ Jesúswai pera unilѳpe?;¿Por qué necesitaban valor los discípulos de Jesús?
7568;¿Kan nuchakwan mantѳ purukuik kѳ unkua chipik kѳntrap? (Fѳtѳnkucha ash);¿Cómo le ayudó a una hermana ser agradecida? (Vea también la imagen)
7569;¿Tiuspa wamintinuk nuimpurap nampe mantѳ tapik waminchipsrueira?;¿De qué maneras alabamos a Jehová en nuestras oraciones?
7570;Apѳcalipsis 4:10, 11 taimpala, ¿namuinukkutri nam chi tranamik kѳ Jeupawan?;Según Apocalipsis 4:10, 11, ¿qué merece recibir Jehová?
7571;¿Jesús latawai nampe mantѳ martrap?;¿Cómo podemos imitar a Jesús?
7572;¿Chi tap kenamarik kѳ Jesúspe?;¿Qué buen ejemplo nos dio Jesús?
7573;¿Jesús chi tѳrtѳ tѳkakuik kѳ?;¿Qué sabía Jesús?
7574;Jesús nui mѳskaimpa waminchap utѳ wesruik kѳn;Jesús sacó tiempo para orar
7575;Tiuspa wamintinuk mas tapchik kѳntrai inchikun;Mejoremos nuestras oraciones
7576;¿Namui fe nurantrai chi martrap?;¿Cómo podemos fortalecer nuestra fe?
7577;¿Jeupa Habacucwan eshkaikwan kan nuchakpe mantѳ tap utik kѳ?;¿Cómo siguió una hermana el consejo que Jehová le dio a Habacuc?
7578;¿Jeupa Habacucwan eshkaikpe chincha purukupik kѳ mѳyankucha namun? (Hebreѳs 10:36, 37);¿Por qué sabemos que lo que Jehová le dijo a Habacuc también nos aplica a nosotros? (Hebreos 10:36, 37)
7579;CHI [SRATRѳMѳNTRUN] CHA;Se cumplirá sin ninguna duda
7580;¿Tuluntsunik yau namui fewan mantѳ mas nurantrera?;¿Cómo fortalecen nuestra fe las reuniones?
7581;¿Jѳsué 23:14 incha Isaías 55:10, 11 chi kusrenanѳpelѳ kѳ Jeupa marampurap marikwan?;¿Qué nos aseguran sobre el poder de Jehová Josué 23:14 e Isaías 55:10, 11?
7582;Jeupawayelan maramikwanmetrik metrap pasr;Centrarnos en actividades espirituales
7583;Jeupa marampurap marikwan chincha isumik kѳ;Pensar en el poder de jehová
7584;¿Jesucristѳ kuaikwan tsѳntatѳ isupene mantѳ purukupik kѳ fe nurantrai?;¿Cómo nos fortalece la fe meditar en el rescate?
7585;¿Mur kualѳmmera pupen chinchatre latrѳ nu fe palailѳ pѳntra? Kan kemesra wamintikwan eshkau;¿Por qué necesitamos una fe fuerte cuando pasamos por pruebas? Ponga un ejemplo
7586;¿Latrѳ nu fe tѳkaik kuikwan mantѳ kenamartrera?;¿Qué tipo de decisiones exigen tener una fe fuerte?
7587;¿Ik kusremik pѳrinuk chi ashchap?;¿Qué analizaremos en este artículo?
7588;Wentѳsrѳ tap pirѳchikwan utѳntrap munirap pѳntrѳwape, ¿chi maramik kѳ?;Mientras esperamos a que venga el nuevo mundo, ¿qué debemos hacer?
7589;Wentѳsrѳ tap pirѳchikwan utѳntrai namui fewan mantѳ nurantrera;Cómo fortalecer nuestra fe en la promesa del nuevo mundo
7590;¿Tasikwan kusrua lѳtape nampe mantѳ latrѳ nuik kurmap marmumik kѳ? (Prѳverbiѳs 27:2);¿Qué podemos hacer para no llamar demasiado la atención cuando comentamos? (Proverbios 27:2)
